Close Year,Date Stamp,Full Investigation,Number of Records (copy),Number of Records,Uniq Id
2006,5/12/17,Not Fully Investigated,1,1,1047
2006,5/12/17,Not Fully Investigated,1,1,1048
2006,5/12/17,Not Fully Investigated,1,1,1050
2006,5/12/17,Not Fully Investigated,1,1,1052
2006,5/12/17,Not Fully Investigated,1,1,1056
2006,5/12/17,Not Fully Investigated,1,1,1057
2006,5/12/17,Not Fully Investigated,1,1,1059
2006,5/12/17,Not Fully Investigated,1,1,1060
2006,5/12/17,Not Fully Investigated,1,1,1062
2006,5/12/17,Not Fully Investigated,1,1,1063
2006,5/12/17,Not Fully Investigated,1,1,1065
2006,5/12/17,Not Fully Investigated,1,1,1067
2006,5/12/17,Not Fully Investigated,1,1,1068
2006,5/12/17,Not Fully Investigated,1,1,1072
2006,5/12/17,Not Fully Investigated,1,1,1075
2006,5/12/17,Not Fully Investigated,1,1,1076
2006,5/12/17,Not Fully Investigated,1,1,1077
2006,5/12/17,Not Fully Investigated,1,1,1080
2006,5/12/17,Not Fully Investigated,1,1,1081
2006,5/12/17,Not Fully Investigated,1,1,1084
2006,5/12/17,Not Fully Investigated,1,1,1086
2006,5/12/17,Not Fully Investigated,1,1,1087
2006,5/12/17,Not Fully Investigated,1,1,1088
2006,5/12/17,Not Fully Investigated,1,1,1090
2006,5/12/17,Not Fully Investigated,1,1,1093
2006,5/12/17,Not Fully Investigated,1,1,1094
2006,5/12/17,Not Fully Investigated,1,1,1096
2006,5/12/17,Not Fully Investigated,1,1,1097
2006,5/12/17,Not Fully Investigated,1,1,1099
2006,5/12/17,Not Fully Investigated,1,1,1100
2006,5/12/17,Not Fully Investigated,1,1,1101
2006,5/12/17,Not Fully Investigated,1,1,1102
2006,5/12/17,Not Fully Investigated,1,1,1103
2006,5/12/17,Not Fully Investigated,1,1,1105
2006,5/12/17,Not Fully Investigated,1,1,1106
2006,5/12/17,Not Fully Investigated,1,1,1107
2006,5/12/17,Not Fully Investigated,1,1,1108
2006,5/12/17,Not Fully Investigated,1,1,1109
2006,5/12/17,Not Fully Investigated,1,1,1115
2006,5/12/17,Not Fully Investigated,1,1,1117
2006,5/12/17,Not Fully Investigated,1,1,1118
2006,5/12/17,Not Fully Investigated,1,1,1119
2006,5/12/17,Not Fully Investigated,1,1,1120
2006,5/12/17,Not Fully Investigated,1,1,1121
2006,5/12/17,Not Fully Investigated,1,1,1122
2006,5/12/17,Not Fully Investigated,1,1,1124
2006,5/12/17,Not Fully Investigated,1,1,1125
2006,5/12/17,Not Fully Investigated,1,1,1127
2006,5/12/17,Not Fully Investigated,1,1,1128
2006,5/12/17,Not Fully Investigated,1,1,1129
2006,5/12/17,Not Fully Investigated,1,1,1131
2006,5/12/17,Not Fully Investigated,1,1,1132
2006,5/12/17,Not Fully Investigated,1,1,1135
2006,5/12/17,Not Fully Investigated,1,1,1136
2006,5/12/17,Not Fully Investigated,1,1,1138
2006,5/12/17,Not Fully Investigated,1,1,1140
2006,5/12/17,Not Fully Investigated,1,1,1142
2006,5/12/17,Not Fully Investigated,1,1,1147
2006,5/12/17,Not Fully Investigated,1,1,1148
2006,5/12/17,Not Fully Investigated,1,1,1149
2006,5/12/17,Not Fully Investigated,1,1,1150
2006,5/12/17,Not Fully Investigated,1,1,1153
2006,5/12/17,Not Fully Investigated,1,1,1155
